ID,Age,Experience,Income,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard,Income pm
131,28,4,81,3,1.5,1,276,0,No,No,Yes,No,27
132,58,34,149,4,7.2,2,0,1,No,Yes,Yes,Yes,37.25
133,31,1,51,2,1.75,3,0,0,No,No,No,No,25.5
134,30,4,39,3,1.1,2,0,0,No,No,Yes,No,13
135,53,29,98,3,1.8,2,0,0,No,No,No,No,32.67
136,58,33,45,4,2.1,1,0,0,No,No,Yes,Yes,11.25
137,59,32,49,4,2.5,2,0,0,No,No,Yes,No,12.25
138,49,25,128,2,0.4,1,0,0,No,No,No,No,64
139,59,34,42,3,1.5,1,0,0,Yes,Yes,No,Yes,14
140,59,35,18,1,1.2,3,0,0,No,No,Yes,No,18
141,51,25,31,2,0.4,3,161,0,No,No,Yes,Yes,15.5
142,35,11,58,3,2,1,149,0,No,No,Yes,Yes,19.33
143,33,9,48,1,2.1,3,0,0,No,No,No,Yes,48
144,25,1,54,4,1.6,1,0,0,No,No,Yes,Yes,13.5
145,49,23,70,2,1.5,2,0,0,No,No,No,No,35
146,59,35,124,1,7.4,1,0,0,No,No,No,Yes,124
147,46,19,84,1,2.66666666666667,2,0,0,No,No,Yes,Yes,84
148,50,25,83,4,3.6,3,188,0,No,No,Yes,No,20.75
149,52,28,163,2,0.4,1,116,0,No,No,Yes,No,81.5
150,48,22,42,3,2.2,2,0,0,No,No,No,No,14
151,46,22,118,2,7.5,1,0,0,No,Yes,Yes,Yes,59
153,57,32,24,1,1.3,1,0,0,No,No,Yes,Yes,24
154,60,36,22,2,1,1,0,0,Yes,Yes,Yes,Yes,11
155,54,29,58,4,1.3,3,0,0,No,No,No,No,14.5
158,41,17,83,4,2.66666666666667,1,0,0,No,No,Yes,Yes,20.75
159,32,6,79,2,1.5,3,0,0,No,No,Yes,Yes,39.5
160,61,35,41,4,1.7,2,0,0,Yes,No,Yes,No,10.25
162,61,35,80,2,2.8,1,0,0,No,No,Yes,No,40
163,38,12,52,1,2,1,0,0,No,No,No,No,52
164,28,4,70,4,2.6,1,0,0,No,No,Yes,No,17.5
165,53,27,92,2,1.1,1,0,0,Yes,No,No,No,46
166,27,1,43,1,1.5,1,0,0,No,No,Yes,No,43
167,25,1,21,3,1,2,0,0,No,No,No,No,7
168,33,9,23,3,0.9,3,0,0,No,No,Yes,Yes,7.67
169,50,26,13,4,1,1,0,0,No,No,Yes,No,3.25
170,27,1,112,4,2.1,3,0,0,No,No,No,Yes,28
171,27,1,138,2,2,1,0,0,No,No,Yes,No,69
172,52,28,11,3,0.4,1,0,0,Yes,No,No,No,3.67
173,38,13,171,2,7.8,1,0,0,No,No,Yes,No,85.5
174,58,34,42,4,1.5,1,0,0,No,No,Yes,Yes,10.5
175,42,17,168,2,7.9,2,0,1,No,No,Yes,No,84
176,45,20,85,4,1.1,2,0,0,Yes,No,Yes,No,21.25
177,52,25,44,3,1,2,135,0,No,No,Yes,No,14.67
178,29,3,65,4,1.8,2,244,0,No,No,No,No,16.25
179,53,29,24,4,0.2,1,0,0,No,No,Yes,Yes,6
180,62,37,11,1,0.1,1,0,0,No,No,Yes,No,11
181,51,27,38,2,1,3,164,0,No,No,Yes,No,19
182,36,12,10,4,0.7,2,81,0,No,No,No,No,2.5
184,29,3,148,3,4.1,1,0,1,No,No,Yes,No,49.33
185,52,26,63,2,1.5,2,0,0,Yes,No,Yes,No,31.5
186,39,14,115,1,1,3,0,0,No,No,Yes,No,115
187,48,23,45,1,0.3,1,0,0,No,No,Yes,Yes,45
188,46,21,159,3,1.9,3,315,1,No,No,Yes,No,53
189,64,40,169,2,2.1,1,122,0,No,No,Yes,No,84.5
190,55,29,112,2,1.4,1,0,0,No,No,Yes,No,56
191,60,36,93,1,4.3,1,0,0,No,No,Yes,No,93
192,51,25,29,1,0.3,3,140,0,No,No,No,No,29
193,50,23,85,1,2.66666666666667,2,0,0,No,No,Yes,No,85
194,48,24,21,4,0.6,1,0,0,No,No,Yes,Yes,5.25
195,53,29,144,2,6.8,1,0,0,No,No,Yes,No,72
196,34,10,13,4,1,1,95,0,Yes,No,Yes,No,3.25
197,48,24,165,1,5,1,0,0,No,No,No,Yes,165
198,55,31,9,4,0.7,1,89,0,No,No,Yes,No,2.25
199,27,3,59,4,0,1,90,0,Yes,No,Yes,No,14.75
200,36,11,158,1,5.1,3,0,1,No,Yes,Yes,Yes,158
201,32,6,29,1,1.9,3,0,0,No,No,Yes,Yes,29
202,35,9,20,2,1.4,3,0,0,No,No,Yes,Yes,10
203,30,3,68,4,2,2,0,0,No,No,Yes,No,17
204,58,34,65,4,2.2,1,0,0,No,No,Yes,No,16.25
205,56,31,61,2,1.9,2,105,0,No,No,No,No,30.5
206,38,12,91,4,1.4,2,100,0,No,No,No,Yes,22.75
207,49,25,31,1,1,1,0,0,Yes,No,Yes,No,31
208,34,10,71,4,0.1,2,0,0,No,No,No,No,17.75
209,40,16,73,4,2.66666666666667,1,0,0,No,No,Yes,Yes,18.25
210,64,39,172,4,3.1,1,282,1,No,Yes,Yes,Yes,43
211,51,26,20,2,0,1,0,0,No,No,No,No,10
212,44,18,55,1,0.2,1,0,0,No,No,No,No,55
213,46,22,69,2,1.7,1,209,0,No,No,No,No,34.5
214,57,33,155,1,7.4,1,0,0,No,No,Yes,No,155
215,54,28,94,1,1.9,2,0,0,No,No,No,No,94
216,38,14,92,2,0,1,249,0,No,No,Yes,Yes,46
217,27,3,125,2,0.6,1,0,0,No,No,No,No,62.5
218,39,14,74,3,3,1,0,0,No,No,No,No,24.67
219,44,20,72,3,0.3,3,0,0,No,No,Yes,No,24
220,56,30,61,1,2.2,3,0,0,No,No,Yes,Yes,61
221,32,6,25,2,0.3,1,0,0,No,No,No,Yes,12.5
222,45,19,83,2,1.7,2,0,0,No,No,Yes,No,41.5
223,26,2,104,3,2.5,1,0,0,No,No,No,No,34.67
224,55,25,41,3,1,3,0,0,No,No,Yes,No,13.67
225,52,27,58,4,1.8,3,91,0,No,No,No,No,14.5
226,39,13,93,1,1.5,3,0,0,No,No,No,Yes,93
228,47,23,148,2,7.5,1,0,0,No,Yes,Yes,Yes,74
229,47,22,53,4,1.9,3,98,0,Yes,Yes,No,Yes,13.25
230,48,24,71,2,1.7,1,145,0,No,No,No,Yes,35.5
231,47,22,92,1,2.8,2,0,0,No,No,Yes,No,92
232,35,10,61,4,2.1,3,0,0,No,No,Yes,No,15.25
233,46,19,38,3,2.5,2,135,0,No,No,No,No,12.67
234,62,37,58,4,1.7,1,0,0,No,No,Yes,No,14.5
235,26,1,80,1,0.8,2,150,0,No,No,No,No,80
236,38,8,71,4,1.8,3,0,0,No,No,Yes,No,17.75
237,43,18,89,3,0.5,3,0,0,No,No,Yes,Yes,29.67
238,62,38,83,1,1.8,3,0,0,No,No,Yes,No,83
239,57,32,28,3,0.2,1,0,0,No,No,Yes,Yes,9.33
240,28,3,52,4,1.7,2,0,0,No,No,No,No,13
241,51,26,70,1,1.2,1,169,0,No,No,No,No,70
242,48,22,71,1,1.4,3,0,0,No,No,No,Yes,71
243,41,16,75,1,3.7,3,280,0,No,No,No,No,75
244,65,39,170,3,7.9,3,99,1,No,Yes,Yes,No,56.67
245,41,17,78,4,0.8,1,78,0,No,No,Yes,No,19.5
246,35,11,25,2,1,2,0,0,No,No,No,No,12.5
247,38,14,60,2,0.6,3,0,0,No,No,Yes,Yes,30
248,53,29,120,4,2.7,2,111,1,Yes,Yes,Yes,No,30
249,55,29,99,2,1.4,1,264,0,No,No,Yes,Yes,49.5
250,26,1,55,3,2.6,3,113,0,No,No,No,Yes,18.33
251,30,6,29,3,1,2,117,0,No,No,No,No,9.67
252,54,28,170,2,6.2,2,325,1,No,No,Yes,No,85
253,65,40,53,3,2.2,1,0,0,No,No,No,Yes,17.67
254,47,21,138,1,0,1,0,0,No,No,No,No,138
255,65,41,134,3,3.9,3,121,1,No,No,Yes,No,44.67
256,66,40,42,2,0.7,3,138,0,No,No,No,Yes,21
258,66,41,18,3,0.5,1,0,0,No,No,No,Yes,6
259,35,9,24,4,0.3,1,0,0,No,No,Yes,No,6
260,56,30,55,1,1.4,1,77,0,No,No,Yes,No,55
261,51,27,58,1,0,1,0,0,No,No,No,Yes,58
262,42,16,111,2,1.2,3,251,1,No,No,Yes,No,55.5
263,49,23,33,1,0.3,3,0,0,No,Yes,Yes,Yes,33
264,27,1,74,4,1.8,2,112,0,No,No,Yes,Yes,18.5
265,45,19,38,2,0.7,1,0,0,No,No,No,No,19
266,49,23,23,4,0.6,3,98,0,Yes,No,No,No,5.75
267,63,38,61,2,1.5,1,0,0,No,No,Yes,No,30.5
268,47,22,81,1,2.9,1,138,0,No,No,No,No,81
269,64,39,129,1,2.5,1,0,0,No,No,Yes,No,129
270,43,13,33,1,0.75,3,0,0,No,No,No,No,33
271,60,36,63,4,2.2,1,0,0,No,No,Yes,No,15.75
272,40,14,70,4,1.4,2,0,0,No,No,Yes,No,17.5
273,29,3,45,4,0.2,1,158,0,No,No,Yes,Yes,11.25
274,41,16,65,3,0.5,3,0,0,No,No,Yes,No,21.67
275,30,5,74,4,2.2,1,0,0,Yes,No,No,Yes,18.5
276,49,24,50,4,1.8,3,0,0,Yes,No,No,No,12.5
277,30,5,22,4,0.5,3,109,0,No,No,Yes,No,5.5
278,29,2,30,4,1,3,0,0,No,No,No,No,7.5
279,50,26,21,4,1,1,0,0,No,No,Yes,No,5.25
280,39,14,155,2,3.9,1,0,0,No,No,Yes,No,77.5
281,33,8,64,4,2.1,3,164,0,No,No,Yes,No,16
282,57,31,65,4,2.6,3,0,0,No,No,No,Yes,16.25
283,34,9,71,4,0.7,3,0,0,No,No,Yes,No,17.75
284,61,36,40,3,0.5,2,0,0,Yes,No,Yes,No,13.33
285,44,19,69,3,0.5,3,0,0,No,No,Yes,No,23
286,40,13,69,3,2.33333333333333,2,0,0,No,No,No,No,23
287,51,25,45,3,0.6,2,131,0,No,No,Yes,No,15
288,37,12,62,3,0.7,2,0,0,No,No,No,Yes,20.67
289,44,19,172,2,4.3,3,391,1,Yes,Yes,Yes,No,86
290,42,15,24,3,1,2,0,0,No,No,Yes,Yes,8
291,51,25,80,1,4.9,1,0,0,No,No,No,No,80
292,43,16,8,3,0.666666666666667,2,88,0,No,No,Yes,No,2.67
293,30,5,38,4,0.8,1,129,0,No,No,Yes,Yes,9.5
294,45,19,93,4,2.6,3,0,0,No,No,No,No,23.25
295,35,9,55,1,2,1,0,0,No,No,Yes,No,55
296,60,34,64,2,1.7,3,0,0,No,No,No,Yes,32
297,34,9,122,1,0,1,0,0,No,No,Yes,No,122
298,55,25,70,3,1.4,3,0,0,No,No,Yes,No,23.33
299,43,19,81,2,3.2,1,0,0,No,No,No,No,40.5
300,41,15,159,1,5.5,3,0,1,No,Yes,Yes,No,159
301,34,9,70,4,1.3,1,0,0,Yes,No,No,No,17.5
302,65,39,150,2,6.9,1,196,0,No,No,No,No,75
303,45,21,152,2,7.5,1,0,0,No,No,Yes,No,76
304,49,25,195,4,3,1,617,1,No,No,No,No,48.75
305,48,23,22,1,0.1,1,0,0,No,No,No,No,22
306,60,35,22,1,1.3,1,123,0,No,No,Yes,No,22
307,55,29,79,3,0.8,1,0,0,No,No,Yes,Yes,26.33
308,42,18,33,1,1.4,3,0,0,No,No,Yes,No,33
309,32,8,128,2,4.33333333333333,1,0,0,No,Yes,Yes,Yes,64
310,62,38,91,1,3.8,1,0,0,Yes,No,Yes,No,91
311,57,32,39,4,0.9,1,0,0,No,No,Yes,Yes,9.75
312,52,26,121,1,7.3,1,167,0,No,No,Yes,No,121
313,36,6,21,1,0.666666666666667,3,0,0,Yes,No,Yes,No,21
314,34,9,41,3,2.3,1,0,0,No,No,No,Yes,13.67
315,63,37,45,2,0.7,3,0,0,No,No,Yes,No,22.5
317,57,31,165,1,1.6,2,0,1,No,No,Yes,No,165
318,40,16,119,2,4.2,2,0,1,No,No,Yes,No,59.5
319,27,2,110,4,1.8,3,190,0,No,No,Yes,No,27.5
320,65,39,20,3,0.7,2,0,0,No,No,No,Yes,6.67
321,60,34,64,1,0.8,2,248,0,No,No,No,No,64
322,44,20,101,3,4.4,2,82,1,No,No,No,No,33.67
323,63,39,101,1,3.9,1,0,1,Yes,Yes,Yes,No,101
324,59,34,99,1,4.4,1,0,1,No,No,No,No,99
325,56,30,158,4,6.1,1,0,1,No,No,No,No,39.5
326,54,28,89,1,1.9,2,0,0,No,No,Yes,Yes,89
327,52,27,80,1,1.3,3,0,0,No,Yes,Yes,Yes,80
328,58,32,114,2,2,1,402,0,No,No,Yes,No,57
329,60,35,49,3,0.5,2,0,0,No,No,Yes,Yes,16.33
330,28,4,191,1,6.33333333333333,1,0,0,No,No,Yes,No,191
331,54,30,78,4,1,2,0,0,No,No,Yes,No,19.5
332,32,6,28,3,1,1,0,0,No,No,No,No,9.33
333,59,33,42,1,0.8,2,0,0,No,No,Yes,No,42
334,63,38,140,1,2.5,1,0,0,No,No,No,No,140
335,48,23,45,1,1.3,2,0,0,No,No,Yes,No,45
336,56,32,122,2,0.3,1,360,0,No,Yes,Yes,Yes,61
337,36,12,65,3,2.6,2,0,0,No,No,Yes,No,21.67
338,57,27,68,1,1.4,3,0,0,No,No,Yes,No,68
339,29,3,153,2,2,1,392,0,No,No,No,No,76.5
340,39,13,89,4,1.4,2,0,0,No,No,No,No,22.25
341,59,34,91,1,2.6,1,0,0,No,No,Yes,Yes,91
342,31,6,55,4,2,2,185,0,No,No,Yes,No,13.75
343,43,19,118,2,3.3,1,0,0,No,No,No,Yes,59
344,35,5,22,1,0.666666666666667,3,103,0,No,No,No,No,22
345,54,24,63,3,1.4,3,138,0,No,No,Yes,Yes,21
346,51,27,12,4,0.5,2,78,0,Yes,No,Yes,No,3
347,44,19,50,3,2.7,2,0,0,No,No,Yes,No,16.67
349,40,15,173,4,6.6,1,0,1,No,Yes,Yes,Yes,43.25
350,26,2,60,2,3,1,132,1,No,No,No,No,30
351,39,14,113,1,1,3,0,0,Yes,No,Yes,No,113
352,28,4,155,4,5.3,2,0,1,No,No,Yes,No,38.75
353,52,28,91,4,1,2,0,0,No,No,No,Yes,22.75
354,53,29,55,4,1.1,2,0,0,No,No,Yes,No,13.75
355,44,20,173,2,1.4,1,419,0,No,No,Yes,No,86.5
356,43,19,71,3,0.3,3,0,0,No,No,No,Yes,23.67
357,56,30,24,2,0.4,3,88,0,No,No,No,No,12
358,38,14,42,1,2,2,81,0,No,No,Yes,No,42
359,30,6,141,2,4.33333333333333,1,0,0,No,No,Yes,No,70.5
360,32,6,32,1,1.9,3,0,0,No,No,Yes,No,32
361,35,10,55,4,1.3,1,0,0,No,No,No,No,13.75
362,43,19,153,2,7.5,1,0,0,No,No,Yes,No,76.5
363,58,32,113,2,1.4,1,270,0,No,No,No,Yes,56.5
365,54,24,29,3,1,3,148,0,No,No,No,Yes,9.67
366,57,32,174,1,6.8,2,466,1,No,No,Yes,No,174
367,50,24,35,1,0.3,3,0,0,No,No,Yes,No,35
368,32,8,98,2,2,2,175,0,No,No,Yes,No,49
369,63,37,30,2,1,3,159,0,No,No,Yes,No,15
370,31,6,58,2,2.5,1,0,0,No,No,No,Yes,29
371,36,12,25,4,1,1,147,0,No,No,No,No,6.25
372,58,34,19,4,0.7,1,0,0,No,No,No,No,4.75
373,56,30,44,4,0.7,2,174,0,No,No,Yes,No,11
374,49,25,20,4,1,1,111,0,No,No,Yes,Yes,5
375,30,5,98,2,3.1,1,220,0,No,No,Yes,No,49
376,33,7,90,3,1.6,1,0,0,No,No,Yes,No,30
377,45,21,61,3,0.7,1,0,0,No,No,No,No,20.33
378,30,5,40,4,2,2,0,0,No,No,Yes,No,10
379,47,23,38,2,2.1,3,0,0,No,No,No,No,19
381,63,33,34,1,1.5,3,0,0,No,No,Yes,Yes,34
382,55,29,73,2,2.3,3,0,0,No,No,Yes,Yes,36.5
383,65,41,133,4,2,1,0,1,No,No,No,Yes,33.25
384,44,18,53,1,0.2,1,0,0,No,No,Yes,No,53
385,51,25,21,4,0.6,3,0,0,No,No,Yes,Yes,5.25
386,35,9,40,3,0.9,1,0,0,No,No,Yes,No,13.33
387,30,5,41,4,1.7,2,0,0,No,No,Yes,No,10.25
388,31,5,82,4,1.8,2,0,0,No,No,Yes,No,20.5
389,54,30,100,4,3.4,3,0,1,No,No,No,No,25
390,45,20,155,1,7,1,0,0,No,No,Yes,Yes,155
391,45,19,45,1,0.2,1,0,0,No,No,Yes,No,45
392,58,32,9,3,0.3,3,0,0,No,No,No,Yes,3
393,54,29,48,4,1.8,3,0,0,No,No,Yes,No,12
394,53,28,18,4,0.1,3,109,0,Yes,Yes,Yes,Yes,4.5
395,33,9,80,4,3.4,1,0,0,No,No,Yes,Yes,20
396,60,35,64,2,2.8,1,0,0,No,No,No,No,32
397,50,24,29,4,0.1,1,0,0,No,No,No,No,7.25
398,26,2,48,3,0.7,2,0,0,No,No,Yes,No,16
399,54,30,23,2,0.4,1,0,0,No,No,No,No,11.5
400,28,3,84,4,0.2,1,0,0,No,No,Yes,Yes,21
401,36,10,179,3,6.6,1,0,1,No,No,Yes,No,59.67
402,29,2,30,4,1.5,2,112,0,No,No,No,Yes,7.5
403,54,28,93,1,4.9,1,133,0,No,Yes,Yes,Yes,93
404,55,30,39,2,1.9,2,0,0,No,No,No,No,19.5
405,61,36,60,3,0.5,2,182,0,No,No,No,No,20
406,36,11,133,1,3.8,1,290,0,Yes,Yes,Yes,Yes,133
407,45,19,125,1,2.4,1,0,0,No,No,No,No,125
408,64,40,58,1,1.8,3,0,0,No,No,Yes,No,58
409,60,36,89,2,2.8,1,0,0,No,No,Yes,No,44.5
410,49,22,82,1,2.66666666666667,2,125,0,No,No,Yes,No,82
411,47,23,110,2,3.3,1,0,0,No,No,Yes,Yes,55
412,60,36,54,4,2.3,3,0,0,Yes,No,No,No,13.5
413,45,20,89,4,1.9,3,0,0,No,No,Yes,No,22.25
414,32,7,42,3,2.3,1,0,0,No,No,Yes,No,14
415,52,28,41,3,1.9,2,0,0,No,No,No,Yes,13.67
416,35,8,38,4,1,2,124,0,No,No,Yes,No,9.5
417,40,15,85,2,0.4,1,0,0,No,No,Yes,No,42.5
418,53,29,83,4,1,2,0,0,No,No,Yes,No,20.75
420,58,33,50,4,2.1,1,0,0,No,No,No,Yes,12.5
421,47,22,58,4,3.6,3,0,0,No,No,Yes,Yes,14.5
422,28,3,115,4,3.1,2,0,1,No,No,No,No,28.75
423,46,20,145,2,6.3,1,0,0,Yes,Yes,Yes,No,72.5
424,43,19,161,2,7.5,1,0,0,No,No,No,No,80.5
425,56,30,38,1,0.2,1,0,0,No,No,No,No,38
426,28,3,28,4,0.8,1,0,0,No,No,Yes,No,7
427,42,18,75,3,2.33333333333333,1,0,0,No,No,No,Yes,25
428,32,7,35,3,1.3,1,116,0,No,No,No,Yes,11.67
429,62,38,24,2,1,1,116,0,No,No,No,Yes,12
430,37,13,78,4,0.1,2,0,0,No,No,Yes,No,19.5
431,51,26,113,1,1.3,3,161,0,No,No,Yes,No,113
432,39,13,75,3,2.1,1,224,0,No,No,Yes,No,25
433,43,17,91,1,5.7,1,0,0,No,No,Yes,No,91
434,52,28,31,4,0.2,1,141,0,No,No,Yes,Yes,7.75
435,30,6,45,1,1.8,2,0,0,No,No,Yes,No,45
436,52,26,80,3,0.8,1,0,0,No,No,No,No,26.67
